Date,Close,Lag_1,Lag_2,Lag_3,SMA_7
2024-05-16,115.94999999999999,116.025,115.3,115.5,115.51428571428572
2024-05-17,115.37499999999999,115.94999999999999,116.025,115.3,115.53928571428571
2024-05-20,112.875,115.37499999999999,115.94999999999999,116.025,115.20357142857144
2024-05-21,112.45,112.875,115.37499999999999,115.94999999999999,114.78214285714284
2024-05-22,112.5,112.45,112.875,115.37499999999999,114.35357142857141
2024-05-23,112.6,112.5,112.45,112.875,113.96785714285714
2024-05-24,110.05,112.6,112.5,112.45,113.11428571428571
2024-05-27,105.10000000000001,110.05,112.6,112.5,111.5642857142857
2024-05-28,104.27499999999999,105.10000000000001,110.05,112.6,109.97857142857141
2024-05-29,105.05000000000001,104.27499999999999,105.10000000000001,110.05,108.86071428571428
2024-05-30,101.05,105.05000000000001,104.27499999999999,105.10000000000001,107.23214285714286
2024-05-31,98.825,101.05,105.05000000000001,104.27499999999999,105.27857142857144
2024-06-03,99.425,98.825,101.05,105.05000000000001,103.39642857142857
2024-06-04,101.85,99.425,98.825,101.05,102.22500000000001
2024-06-05,100.35000000000001,101.85,99.425,98.825,101.54642857142858
2024-06-06,100.14999999999999,100.35000000000001,101.85,99.425,100.95714285714287
2024-06-07,102.00000000000001,100.14999999999999,100.35000000000001,101.85,100.52142857142857
2024-06-10,101.7,102.00000000000001,100.14999999999999,100.35000000000001,100.61428571428573
2024-06-11,99.10000000000001,101.7,102.00000000000001,100.14999999999999,100.65357142857144
2024-06-13,100.82499999999999,99.10000000000001,101.7,102.00000000000001,100.85357142857143
2024-06-14,100.6,100.82499999999999,99.10000000000001,101.7,100.675
2024-06-17,101.975,100.6,100.82499999999999,99.10000000000001,100.90714285714286
2024-06-18,99.375,101.975,100.6,100.82499999999999,100.79642857142858
2024-06-19,96.22500000000001,99.375,101.975,100.6,99.97142857142856
2024-06-20,97.92500000000001,96.22500000000001,99.375,101.975,99.43214285714285
2024-06-21,97.30000000000001,97.92500000000001,96.22500000000001,99.375,99.17499999999998
2024-06-24,97.725,97.30000000000001,97.92500000000001,96.22500000000001,98.73214285714286
2024-06-25,102.35,97.725,97.30000000000001,97.92500000000001,98.98214285714286
2024-06-26,108.25,102.35,97.725,97.30000000000001,99.87857142857142
2024-06-27,106.30000000000001,108.25,102.35,97.725,100.86785714285715
2024-06-28,105.69999999999999,106.30000000000001,108.25,102.35,102.22142857142858
2024-07-15,92.95,105.69999999999999,106.30000000000001,108.25,101.51071428571429
2024-07-16,95.32,92.95,105.69999999999999,106.30000000000001,101.22785714285715
2024-07-17,93.72,95.32,92.95,105.69999999999999,100.6557142857143
2024-07-18,95.89,93.72,95.32,92.95,99.73285714285714
2024-07-19,96.33,95.89,93.72,95.32,98.03
2024-07-22,99.75,96.33,95.89,93.72,97.09428571428573
2024-07-23,100.75,99.75,96.33,95.89,96.38714285714286
2024-07-24,99.9,100.75,99.75,96.33,97.38
2024-07-25,99.2,99.9,100.75,99.75,97.9342857142857
